2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,927  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:15:00
2021-08-04 08:45:17,928  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.711177948604734, trading_size:4
2021-08-04 08:45:17,930  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,932  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:17:00
2021-08-04 08:45:17,933  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.068916422225932, trading_size:4
2021-08-04 08:45:17,935  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,937  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:19:00
2021-08-04 08:45:17,938  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.730212502052987, trading_size:4
2021-08-04 08:45:17,939  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,941  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:21:00
2021-08-04 08:45:17,942  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.336432806334644, trading_size:4
2021-08-04 08:45:17,944  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,945  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:23:00
2021-08-04 08:45:17,947  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.308783512422353, trading_size:4
2021-08-04 08:45:17,949  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,951  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:25:00
2021-08-04 08:45:17,953  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.033259264631333, trading_size:4
2021-08-04 08:45:17,954  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,957  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:27:00
